Start Date,Start Date,Start Time,Distance,Duration,W° of Start,N° of Start,W° of Finish,N° of Finish
Wednesday,19-9-2018,19:28,0.83,0:03,-85.47981,31.11813,-85.47981,31.11813
Thursday,20-9-2018,7:35,5.52,0:14,-85.47981,31.11813,-85.4649,31.31438
Thursday,20-9-2018,10:45,4.19,0:12,-85.4649,31.31438,-85.44378,31.26629
Thursday,20-9-2018,11:23,1.52,0:04,-85.44368,31.26625,-85.43726,31.24987
Thursday,20-9-2018,12:28,5.71,0:11,-85.43726,31.24987,-85.4685,31.3147
Thursday,20-9-2018,13:42,6.93,0:10,-85.4683,31.31514,-85.38049,31.26746
Thursday,20-9-2018,13:55,0.17,0:25,-85.38049,31.26746,-85.38103,31.26926
Thursday,20-9-2018,17:51,4.5,0:10,-85.38103,31.26926,-85.43719,31.25028
Friday,21-9-2018,10:41,2.56,0:05,-85.18857,31.44616,-85.45121,31.22793
Friday,21-9-2018,11:05,6.89,0:23,-85.45121,31.22793,-85.37714,31.27146
Friday,21-9-2018,11:32,0.6,0:02,-85.37714,31.27146,-85.38105,31.26929
Friday,21-9-2018,15:17,9.5,0:44,-85.38105,31.26929,-85.43716,31.25029
Friday,21-9-2018,17:18,4.9,0:14,-85.43658,31.25008,-85.40337,31.20644
Friday,21-9-2018,22:09,8.29,0:15,-85.40335,31.20644,-85.38101,31.26916
Friday,21-9-2018,22:42,4.49,0:08,-85.38101,31.26916,-85.43717,31.25023
Sunday,23-9-2018,8:58,1,0:03,-85.43679,31.24978,-85.43668,31.23998
Sunday,23-9-2018,11:34,2.39,0:11,-85.43676,31.23998,-85.43676,31.23998
Sunday,23-9-2018,16:04,0.91,0:04,-85.43725,31.25054,-85.4368,31.24
Sunday,23-9-2018,19:18,2.78,0:10,-85.43684,31.23983,-85.44701,31.26831
Sunday,23-9-2018,19:49,5.89,0:12,-85.44701,31.26831,-85.48775,31.23602
Sunday,23-9-2018,21:19,4.71,0:11,-85.48747,31.23603,-85.43716,31.25029
Monday,24-9-2018,7:34,5.53,0:15,-85.43716,31.25029,-85.4653,31.31446
Monday,24-9-2018,10:41,5.52,0:11,-85.4652,31.31432,-85.43732,31.24988
Monday,24-9-2018,12:24,7.24,0:20,-85.4375,31.25002,-85.46866,31.31475
Monday,24-9-2018,13:40,6.86,0:11,-85.46866,31.31475,-85.38103,31.26932
Monday,24-9-2018,17:56,4.5,0:09,-85.3809,31.26921,-85.43721,31.25029
Tuesday,25-9-2018,7:34,5.55,0:17,-85.43713,31.25028,-85.46515,31.31465
Tuesday,25-9-2018,10:42,5.54,0:16,-85.46515,31.31465,-85.43747,31.24994
Tuesday,25-9-2018,12:27,5.71,0:16,-85.43747,31.24994,-85.46842,31.31473
Tuesday,25-9-2018,13:42,6.93,0:11,-85.46842,31.31473,-85.3802,31.2674
Tuesday,25-9-2018,13:58,0.15,0:01,-85.38031,31.26775,-85.3809,31.26927
Tuesday,25-9-2018,17:53,4.17,0:10,-85.38098,31.26924,-85.43442,31.25769
Tuesday,25-9-2018,18:09,0.66,0:02,-85.43442,31.25769,-85.43718,31.2502
Wednesday,26-9-2018,8:15,5.72,0:10,-85.43653,31.24977,-85.46873,31.31478
Wednesday,26-9-2018,10:26,7.77,0:20,-85.46873,31.31478,-85.43736,31.2499
Wednesday,26-9-2018,12:30,5.69,0:14,-85.4373,31.24971,-85.4687,31.31473
Wednesday,26-9-2018,13:44,6.84,0:11,-85.46827,31.31479,-85.38092,31.26929
Wednesday,26-9-2018,15:23,4.46,0:11,-85.38039,31.26944,-85.43723,31.24988
Wednesday,26-9-2018,15:39,2.08,0:10,-85.4374,31.24971,-85.42511,31.22809
Wednesday,26-9-2018,16:37,2.06,0:07,-85.42468,31.22821,-85.43725,31.24983
Thursday,27-9-2018,7:17,2.55,0:06,-85.43684,31.24964,-85.45122,31.22794
Thursday,27-9-2018,7:27,7.96,0:29,-85.4511,31.22795,-85.46497,31.31443
Thursday,27-9-2018,10:38,5.48,0:21,-85.46497,31.31443,-85.43728,31.24987
Thursday,27-9-2018,12:23,5.7,0:19,-85.43771,31.25002,-85.46845,31.31485
Thursday,27-9-2018,13:43,6.85,0:33,-85.4682,31.31543,-85.38106,31.2693
Thursday,27-9-2018,17:58,4.49,0:10,-85.38106,31.2693,-85.43721,31.25032
Friday,28-9-2018,14:20,4.51,0:15,-85.43721,31.25032,-85.38089,31.26905
Friday,28-9-2018,15:20,4.45,0:17,-85.38081,31.26907,-85.43726,31.24986
Friday,28-9-2018,17:27,4.95,0:14,-85.43726,31.24986,-85.40373,31.20679
Friday,28-9-2018,21:41,5.13,0:15,-85.40373,31.20679,-85.43718,31.25028
Saturday,29-9-2018,17:48,10.68,0:24,-85.43689,31.25025,-85.455,31.12291
Saturday,29-9-2018,21:58,14.42,0:43,-85.455,31.12291,-85.38279,31.26946
Saturday,29-9-2018,23:03,4.59,0:09,-85.38279,31.26946,-85.43716,31.25021
Sunday,30-9-2018,9:02,0.98,0:02,-85.43716,31.25021,-85.43623,31.23947
Sunday,30-9-2018,11:31,0.94,0:03,-85.43696,31.23984,-85.43712,31.2501
Sunday,30-9-2018,15:03,0.87,0:03,-85.43712,31.2501,-85.43584,31.23956
Sunday,30-9-2018,16:46,1.68,0:10,-85.43531,31.23947,-85.43597,31.23961
Sunday,30-9-2018,18:17,0.86,0:04,-85.43566,31.23985,-85.43718,31.25029
Sunday,30-9-2018,18:42,2.09,0:08,-85.43718,31.25029,-85.42217,31.23952
Sunday,30-9-2018,18:53,2.31,0:07,-85.42217,31.23952,-85.43192,31.21598
Sunday,30-9-2018,20:02,3.12,0:07,-85.43181,31.21603,-85.42843,31.24825
Sunday,30-9-2018,20:16,1.87,0:07,-85.42843,31.24825,-85.42215,31.23947
Sunday,30-9-2018,21:29,1.6,0:06,-85.42212,31.23971,-85.43446,31.25592
Sunday,30-9-2018,21:39,0.51,0:01,-85.43446,31.25565,-85.43718,31.25026
Monday,1-10-2018,7:43,5.5,0:14,-85.43718,31.25026,-85.46495,31.31442
Monday,1-10-2018,10:44,4.16,0:10,-85.46447,31.31414,-85.4436,31.26624
Monday,1-10-2018,11:21,1.56,0:05,-85.4436,31.26624,-85.43732,31.24989
Monday,1-10-2018,12:40,5.81,0:11,-85.43732,31.24989,-85.46888,31.31508
Monday,1-10-2018,13:47,6.88,0:29,-85.46885,31.31532,-85.38104,31.26932
Monday,1-10-2018,17:53,4.5,0:10,-85.38104,31.26937,-85.43718,31.25029
Tuesday,2-10-2018,7:34,5.5,0:22,-85.43673,31.24975,-85.46489,31.3144
Tuesday,2-10-2018,10:40,5.49,0:16,-85.46423,31.31456,-85.43732,31.2499
Tuesday,2-10-2018,12:30,5.7,0:13,-85.43732,31.2499,-85.46855,31.31466
Tuesday,2-10-2018,13:44,6.83,0:14,-85.46837,31.31469,-85.38096,31.26949
Tuesday,2-10-2018,17:53,4.47,0:08,-85.3809,31.26961,-85.43721,31.25025
Wednesday,3-10-2018,7:34,5.52,0:21,-85.43721,31.25025,-85.46535,31.31445
Wednesday,3-10-2018,10:53,5.51,0:16,-85.46536,31.31444,-85.43734,31.24992
Wednesday,3-10-2018,12:32,5.82,0:14,-85.43702,31.25017,-85.46882,31.31493
Wednesday,3-10-2018,13:42,6.86,0:45,-85.46877,31.31513,-85.38106,31.26929
Wednesday,3-10-2018,15:18,4.82,0:13,-85.38102,31.26934,-85.4372,31.25026
Wednesday,3-10-2018,17:18,0.99,0:03,-85.43662,31.25035,-85.43594,31.24007
Wednesday,3-10-2018,19:34,0.94,0:03,-85.43652,31.2403,-85.43717,31.25024
Thursday,4-10-2018,7:40,5.55,0:14,-85.43678,31.25005,-85.46457,31.3146
Thursday,4-10-2018,10:44,5.47,0:10,-85.46457,31.3146,-85.43728,31.24986
Thursday,4-10-2018,12:31,5.69,0:15,-85.43717,31.25081,-85.46851,31.31465
Thursday,4-10-2018,13:44,6.84,0:15,-85.46823,31.31459,-85.38102,31.2693
Thursday,4-10-2018,17:50,4.47,0:08,-85.38102,31.2693,-85.4373,31.24986
Thursday,4-10-2018,18:00,2.06,0:06,-85.4373,31.24986,-85.43721,31.25028
Friday,5-10-2018,10:25,2.55,0:06,-85.43721,31.25028,-85.45125,31.2279
Friday,5-10-2018,11:01,2.58,0:13,-85.45125,31.2279,-85.43717,31.25023
Sunday,7-10-2018,9:00,0.99,0:03,-85.43652,31.24977,-85.43661,31.24008
Sunday,7-10-2018,11:42,0.94,0:04,-85.43661,31.24008,-85.43715,31.25026
Sunday,7-10-2018,13:54,2.22,0:10,-85.43707,31.24999,-85.43443,31.2559
Sunday,7-10-2018,14:07,0.51,0:02,-85.43443,31.2559,-85.43721,31.2503
Sunday,7-10-2018,16:30,2.82,0:09,-85.43721,31.2503,-85.43719,31.25026
Sunday,7-10-2018,17:35,0.8,0:02,-85.43719,31.25026,-85.43505,31.23975
Sunday,7-10-2018,19:09,0.83,0:03,-85.4345,31.2396,-85.43722,31.25021
Monday,8-10-2018,7:31,5.51,0:18,-85.43676,31.25008,-85.46493,31.31444
Monday,8-10-2018,9:23,5.52,0:14,-85.46493,31.31444,-85.43732,31.24988
Monday,8-10-2018,12:37,5.52,0:11,-85.43746,31.24957,-85.46528,31.31442
Monday,8-10-2018,13:45,5.99,0:09,-85.46463,31.31389,-85.43188,31.259
Monday,8-10-2018,13:57,3.82,0:26,-85.43188,31.259,-85.38104,31.26929
Monday,8-10-2018,18:06,4.48,0:08,-85.38087,31.26929,-85.4372,31.25026
Tuesday,9-10-2018,7:38,5.81,0:11,-85.4372,31.25026,-85.46498,31.31592
